iter	Passed	Remaining
592	9812	6734
593	9825	6715
594	9837	6695
595	9850	6677
596	9861	6656
597	9872	6636
598	9884	6617
599	9895	6597
600	9907	6577
601	9922	6560
602	9935	6541
603	9946	6520
604	9958	6502
605	9972	6483
606	9987	6466
607	9998	6446
608	10012	6428
609	10024	6409
610	10036	6389
611	10049	6371
612	10064	6354
613	10077	6335
614	10089	6316
615	10101	6297
616	10113	6278
617	10127	6260
618	10141	6242
619	10153	6223
620	10165	6204
621	10178	6185
622	10191	6167
623	10202	6147
624	10218	6131
625	10230	6111
626	10242	6093
627	10253	6073
628	10267	6056
629	10279	6037
630	10290	6017
631	10303	5999
632	10314	5980
633	10326	5961
634	10337	5941
635	10352	5924
636	10365	5907
637	10378	5888
638	10391	5870
639	10403	5852
640	10417	5834
641	10431	5817
642	10444	5798
643	10456	5780
644	10468	5761
645	10480	5742
646	10493	5725
647	10504	5706
648	10515	5687
649	10529	5669
650	10541	5651
651	10554	5633
652	10566	5614
653	10578	5596
654	10589	5577
655	10602	5560
656	10614	5541
657	10630	5525
658	10643	5507
659	10656	5489
660	10666	5470
661	10686	5456
662	10699	5438
663	10711	5420
664	10723	5401
665	10737	5384
666	10748	5366
667	10760	5348
668	10773	5330
669	10785	5312
670	10798	5294
671	10809	5276
672	10821	5257
673	10832	5239
674	10844	5221
675	10855	5202
676	10868	5185
677	10880	5167
678	10892	5149
679	10904	5131
680	10918	5114
681	10931	5097
682	10944	5079
683	10956	5061
684	10973	5046
685	10986	5028
686	10998	5011
687	11030	5002
688	11047	4986
689	11060	4969
690	11072	4951
691	11086	4934
692	11098	4916
693	11111	4899
694	11124	4882
695	11138	4865
696	11150	4847
697	11162	4829
698	11174	4812
699	11185	4793
700	11201	4777
701	11214	4760
702	11227	4743
703	11238	4725
704	11251	4708
705	11264	4690
706	11275	4672
707	11287	4655
708	11299	4637
709	11310	4619
710	11324	4602
711	11338	4586
712	11351	4569
713	11364	4552
714	11377	4534
715	11391	4518
716	11405	4501
717	11418	4484
718	11430	4467
719	11444	4450
720	11458	4433
721	11471	4417
722	11483	4399
723	11497	4382
724	11510	4365
725	11523	4349
726	11533	4331
727	11550	4315
728	11562	4298
729	11576	4281
730	11590	4265
731	11603	4248
732	11614	4230
733	11627	4213
734	11645	4198
735	11660	4182
736	11675	4166
737	11689	4150
738	11704	4133
739	11719	4117
740	11732	4100
741	11745	4084
742	11758	4067
743	11774	4051
744	11788	4035
745	11799	4017
746	11811	4000
747	11824	3983
748	11835	3966
749	11847	3949
750	11860	3932
751	11873	3915
752	11887	3899
753	11898	3882
754	11911	3865
755	11923	3848
756	11943	3833
757	11995	3829
758	12019	3816
759	12031	3799
760	12044	3782
761	12058	3766
762	12072	3749
763	12085	3733
764	12096	3715
765	12109	3699
766	12129	3684
767	12145	3669
768	12159	3652
769	12172	3635
770	12184	3619
771	12198	3602
772	12212	3586
773	12225	3569
774	12241	3554
775	12255	3537
776	12269	3521
777	12282	3504
778	12293	3487
779	12310	3472
780	12322	3455
781	12333	3438
782	12348	3422
783	12361	3405
784	12374	3389
785	12386	3372
786	12399	3355
787	12413	3339
788	12427	3323
789	12441	3307
790	12453	3290
791	12467	3274
792	12480	3257
793	12496	3242
794	12509	3225
795	12521	3209
796	12535	3192
797	12548	3176
798	12561	3159
799	12574	3143
800	12592	3128
801	12605	3112
802	12618	3095
803	12632	3079
804	12644	3062
805	12658	3046
806	12672	3030
807	12685	3014
808	12698	2997
809	12712	2981
810	12725	2965
811	12737	2949
812	12750	2932
813	12764	2916
814	12778	2900
815	12790	2884
816	12803	2867
817	12816	2851
818	12831	2835
819	12845	2819
820	12858	2803
821	12872	2787
822	12885	2771
823	12899	2755
824	12911	2738
825	12927	2723
826	12941	2707
827	12955	2691
828	12969	2675
829	12982	2659
830	12995	2642
831	13008	2626
832	13021	2610
833	13036	2594
834	13050	2578
835	13067	2563
836	13079	2547
837	13093	2531
838	13105	2514
839	13117	2498
840	13130	2482
841	13142	2466
842	13156	2450
843	13168	2434
844	13180	2417
845	13194	2401
846	13207	2385
847	13219	2369
848	13232	2353
849	13244	2337
850	13258	2321
851	13271	2305
852	13285	2289
853	13299	2273
854	13314	2257
855	13327	2241
856	13341	2226
857	13354	2210
858	13367	2194
859	13379	2178
860	13393	2162
861	13404	2146
862	13416	2129
863	13428	2113
864	13441	2097
865	13455	2081
866	13469	2066
867	13484	2050
868	13496	2034
869	13510	2018
870	13522	2002
871	13534	1986
872	13549	1971
873	13562	1955
874	13574	1939
875	13585	1923
876	13598	1907
877	13612	1891
878	13630	1876
879	13643	1860
880	13656	1844
881	13669	1828
882	13681	1812
883	13694	1797
884	13707	1781
885	13718	1765
886	13731	1749
887	13744	1733
888	13757	1717
889	13768	1701
890	13782	1686
891	13796	1670
892	13810	1654
893	13821	1638
894	13835	1623
895	13848	1607
896	13859	1591
897	13872	1575
898	13884	1559
899	13898	1544
900	13910	1528
901	13923	1512
902	13935	1496
903	13946	1481
904	13960	1465
905	13975	1449
906	13987	1434
907	14003	1418
908	14016	1403
909	14033	1387
910	14046	1372
911	14059	1356
912	14073	1341
913	14088	1325
914	14102	1310
915	14113	1294
916	14125	1278
917	14137	1262
918	14150	1247
919	14163	1231
920	14176	1215
921	14190	1200
922	14276	1190
923	14307	1176
924	14321	1161
925	14337	1145
926	14351	1130
927	14368	1114
928	14381	1099
929	14393	1083
930	14407	1067
931	14421	1052
932	14434	1036
933	14448	1020
934	14460	1005
935	14473	989
936	14486	974
937	14498	958
938	14514	942
939	14527	927
940	14541	911
941	14553	896
942	14566	880
943	14580	864
944	14593	849
945	14607	833
946	14620	818
947	14631	802
948	14643	786
949	14661	771
950	14676	756
951	14689	740
952	14703	725
953	14717	709
954	14731	694
955	14743	678
956	14754	662
957	14765	647
958	14777	631
959	14790	616
960	14803	600
961	14815	585
962	14829	569
963	14842	554
964	14855	538
965	14867	523
966	14879	507
967	14891	492
968	14904	476
969	14916	461
970	14927	445
971	14943	430
972	14956	415
973	14970	399
974	14982	384
975	14996	368
976	15009	353
977	15022	337
978	15035	322
979	15048	307
980	15061	291
